STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
MP,Barwani,Newali,Newali,21.6825,74.92333333,Niwali1,"Dug Well",W00615,2018,6.25,7.35,NA,NA
MP,Barwani,Sendhawa,Sendhawa,21.69361111,75.10277778,Sendhwa,"Dug Well",W00619,2018,2.75,4.55,NA,NA
MP,Barwani,Rajpur,Rajpur,21.93472222,75.13638889,Rajpur(D),"Bore Well",W00618,2018,15.6,23.3,NA,NA
MP,Barwani,Rajpur,Rajpur,21.93638889,75.13611111,Rajpur,"Dug Well",W00617,2018,7,4.9,NA,NA
MP,Barwani,Rajpur,Rajpur,21.87138889,75.18472222,Julwania,"Dug Well",W00019,2018,1.22,2.2,NA,NA
MP,Barwani,Barwani,Barwani,22.03888889,75.00166667,Borlai,"Dug Well",W27479,2018,12.85,12.62,NA,NA
MP,Barwani,Rajpur,Rajpur,21.98083333,75.3025,Baruphatak,"Dug Well",W00018,2018,7.15,11.06,NA,NA
MP,Barwani,Rajpur,Barwani,21.82277778,74.96527778,Palsud,"Dug Well",W00616,2018,6.6,6.9,NA,NA
MP,Barwani,Thikri,Thikri,22.04083333,75.04638889,Anjad(D),"Bore Well",W00020,2018,16.32,16.12,NA,NA
MP,Barwani,Sendhawa,Sendhawa,21.56944444,75.32444444,Chachariya,"Dug Well",W27233,2018,4.5,3.02,NA,NA
MP,Barwani,Rajpur,Rajpur,21.80888889,75.17527778,Balsamond,"Dug Well",W00017,2018,4.29,7.65,NA,NA
MP,Barwani,Newali,Newali,21.6825,74.92333333,Niwali1,"Dug Well",W00615,2017,2.77,8.78,11.82,9.73
MP,Barwani,Sendhawa,Sendhawa,21.69361111,75.10277778,Sendhwa,"Dug Well",W00619,2017,1.57,4,4.05,4.45
MP,Barwani,Rajpur,Rajpur,21.93472222,75.13638889,Rajpur(D),"Bore Well",W00618,2017,12.73,19.12,18.78,25.82
MP,Barwani,Rajpur,Rajpur,21.93638889,75.13611111,Rajpur,"Dug Well",W00617,2017,5.34,5.03,9.5,5.6
MP,Barwani,Rajpur,Rajpur,21.87138889,75.18472222,Julwania,"Dug Well",W00019,2017,'0.8,3.7,2.1,11.18
MP,Barwani,Barwani,Barwani,22.03888889,75.00166667,Borlai,"Dug Well",W27479,2017,13.15,14.92,10.6,20
MP,Barwani,Rajpur,Rajpur,21.98083333,75.3025,Baruphatak,"Dug Well",W00018,2017,5.95,9.72,9.45,11.23
