STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
UP,Chandauli,Dhanapur,Dhanapur,25.45333333,83.34166667,Dhanpur,"Dug Well",W14836,2018,'0.06,2.11,NA,NA
UP,Chandauli,Chahniya,Chahniya,25.50833333,83.22083333,"Marufpur xing","Dug Well",W15598,2018,11.58,9.53,NA,NA
UP,Chandauli,Chandauli,Chandauli,25.26388889,83.25444444,Chandauli,"Dug Well",W14835,2018,-0.84,'0.54,NA,NA
UP,Chandauli,Niyamatabad,Niyamatabad,25.27666667,83.13,"Mugal sarai","Dug Well",W15600,2018,'0.66,'0.19,NA,NA
UP,Chandauli,Naugarh,Naugarh,24.93333333,83.18333333,Chandraprabha,"Dug Well",W14837,2018,4.45,8.5,NA,NA
UP,Chandauli,Chahniya,Chahniya,25.42333333,83.21666667,Chahania,"Dug Well",W14832,2018,NA,3.99,NA,NA
UP,Chandauli,Sakaldiha,Sakaldiha,25.33833333,83.25666667,Sakaldiha,"Dug Well",W15601,2018,'0.95,'0.88,NA,NA
UP,Chandauli,Barhani,Barhani,25.37,83.37666667,Kamalpur,"Dug Well",W14831,2018,2.45,2.25,NA,NA
UP,Chandauli,Naugarh,Naugarh,24.82833333,83.22833333,Naugarh,"Dug Well",W15599,2018,NA,6.28,NA,NA
UP,Chandauli,Chandauli,Chandauli,25.16666667,83.195,Baburi,"Dug Well",W14834,2018,NA,5.66,NA,NA
UP,Chandauli,Chakiya,Chakiya,25.04166667,83.22166667,Chakia,"Dug Well",W14833,2018,3.33,2.83,NA,NA
UP,Chandauli,Dhanapur,Dhanapur,25.45333333,83.34166667,Dhanpur,"Dug Well",W14836,2017,1.82,3.39,1.92,3.76
UP,Chandauli,Chahniya,Chahniya,25.50833333,83.22083333,"Marufpur xing","Dug Well",W15598,2017,8.78,14.41,8.59,15.03
UP,Chandauli,Chandauli,Chandauli,25.26388889,83.25444444,Chandauli,"Dug Well",W14835,2017,'0.24,2.32,'0.39,2.74
UP,Chandauli,Niyamatabad,Niyamatabad,25.27666667,83.13,"Mugal sarai","Dug Well",W15600,2017,1.18,'0.77,NA,2.53
UP,Chandauli,Naugarh,Naugarh,24.82833333,83.22833333,Naugarh,"Dug Well",W15599,2017,2.4,4.45,5.48,10.78
UP,Chandauli,Chandauli,Chandauli,25.16666667,83.195,Baburi,"Dug Well",W14834,2017,4.51,8.37,5.26,NA
UP,Chandauli,Sakaldiha,Sakaldiha,25.33833333,83.25666667,Sakaldiha,"Dug Well",W15601,2017,'0.6,3.53,'0.66,5.4
UP,Chandauli,Barhani,Barhani,25.37,83.37666667,Kamalpur,"Dug Well",W14831,2017,1.73,6.15,1.81,7.85
UP,Chandauli,Chahniya,Chahniya,25.42333333,83.21666667,Chahania,"Dug Well",W14832,2017,3.66,4.5,3.87,4.36
UP,Chandauli,Naugarh,Naugarh,24.93333333,83.18333333,Chandraprabha,"Dug Well",W14837,2017,3.71,NA,7.55,9.3
UP,Chandauli,Chakiya,Chakiya,25.04166667,83.22166667,Chakia,"Dug Well",W14833,2017,3.63,5.87,2.83,9.03
UP,Chandauli,Chahniya,Chahniya,25.42333333,83.21666667,Chahania,"Dug Well",W14832,2016,2.91,NA,2.57,4.41
UP,Chandauli,Chakiya,Chakiya,25.04166667,83.22166667,Chakia,"Dug Well",W14833,2016,3.23,NA,2.8,9.76
UP,Chandauli,Chandauli,Chandauli,25.16666667,83.195,Baburi,"Dug Well",W14834,2016,3.96,NA,3.71,NA
UP,Chandauli,Chandauli,Chandauli,25.26388889,83.25444444,Chandauli,"Dug Well",W14835,2016,'0.04,NA,'0.19,2.28
UP,Chandauli,Dhanapur,Dhanapur,25.45333333,83.34166667,Dhanpur,"Dug Well",W14836,2016,1.41,NA,1.62,3.96
UP,Chandauli,Sakaldiha,Sakaldiha,25.33833333,83.25666667,Sakaldiha,"Dug Well",W15601,2016,'0.3,NA,'0.56,5.8
UP,Chandauli,Barhani,Barhani,25.37,83.37666667,Kamalpur,"Dug Well",W14831,2016,1.35,NA,1.19,8.65
UP,Chandauli,Chahniya,Chahniya,25.50833333,83.22083333,"Marufpur xing","Dug Well",W15598,2016,7.93,NA,8.43,15.43
UP,Chandauli,Naugarh,Naugarh,24.82833333,83.22833333,Naugarh,"Dug Well",W15599,2016,1.28,NA,1.64,10.48
UP,Chandauli,Niyamatabad,Niyamatabad,25.27666667,83.13,"Mugal sarai","Dug Well",W15600,2016,NA,NA,NA,2.63
UP,Chandauli,Naugarh,Naugarh,24.93333333,83.18333333,Chandraprabha,"Dug Well",W14837,2016,2.95,NA,3.15,9.5
UP,Chandauli,Chahniya,Chahniya,25.42333333,83.21666667,Chahania,"Dug Well",W14832,2015,2.31,NA,3.08,2.31
UP,Chandauli,Chakiya,Chakiya,25.04166667,83.22166667,Chakia,"Dug Well",W14833,2015,3.08,NA,5.03,3.08
UP,Chandauli,Chandauli,Chandauli,25.16666667,83.195,Baburi,"Dug Well",W14834,2015,5.36,NA,7.21,5.36
UP,Chandauli,Chandauli,Chandauli,25.26388889,83.25444444,Chandauli,"Dug Well",W14835,2015,'0.74,NA,1.02,'0.74
UP,Chandauli,Sakaldiha,Sakaldiha,25.33833333,83.25666667,Sakaldiha,"Dug Well",W15601,2015,2.04,NA,1.8,2.04
UP,Chandauli,Barhani,Barhani,25.37,83.37666667,Kamalpur,"Dug Well",W14831,2015,2.2,NA,2.25,2.2
UP,Chandauli,Chahniya,Chahniya,25.50833333,83.22083333,"Marufpur xing","Dug Well",W15598,2015,12.13,NA,12.56,12.13
UP,Chandauli,Naugarh,Naugarh,24.82833333,83.22833333,Naugarh,"Dug Well",W15599,2015,4.96,NA,NA,4.96
UP,Chandauli,Niyamatabad,Niyamatabad,25.27666667,83.13,"Mugal sarai","Dug Well",W15600,2015,'0.43,NA,'0.77,'0.43
UP,Chandauli,Dhanapur,Dhanapur,25.45333333,83.34166667,Dhanpur,"Dug Well",W14836,2015,1.56,NA,2.14,1.56
UP,Chandauli,Chahniya,Chahniya,25.42333333,83.21666667,Chahania,"Dug Well",W14832,2014,2.01,2.57,NA,4.6
UP,Chandauli,Chakiya,Chakiya,25.04166667,83.22166667,Chakia,"Dug Well",W14833,2014,3.63,3.43,NA,6.43
UP,Chandauli,Chandauli,Chandauli,25.16666667,83.195,Baburi,"Dug Well",W14834,2014,NA,4.66,NA,NA
UP,Chandauli,Chandauli,Chandauli,25.26388889,83.25444444,Chandauli,"Dug Well",W14835,2014,'0.98,'0.9,NA,2.34
UP,Chandauli,Sakaldiha,Sakaldiha,25.33833333,83.25666667,Sakaldiha,"Dug Well",W15601,2014,2.28,1.35,NA,4.6
UP,Chandauli,Barhani,Barhani,25.37,83.37666667,Kamalpur,"Dug Well",W14831,2014,7.3,2.45,NA,6.8
UP,Chandauli,Chahniya,Chahniya,25.50833333,83.22083333,"Marufpur xing","Dug Well",W15598,2014,13.1,12.13,NA,14.73
UP,Chandauli,Naugarh,Naugarh,24.82833333,83.22833333,Naugarh,"Dug Well",W15599,2014,4.82,2.68,NA,6.12
UP,Chandauli,Niyamatabad,Niyamatabad,25.27666667,83.13,"Mugal sarai","Dug Well",W15600,2014,'0.15,'0.33,NA,'0.83
UP,Chandauli,Dhanapur,Dhanapur,25.45333333,83.34166667,Dhanpur,"Dug Well",W14836,2014,3.69,1.71,NA,3.57
UP,Chandauli,Chahniya,Chahniya,25.42333333,83.21666667,Chahania,"Dug Well",W14832,2013,2.16,3.73,2.44,3.15
UP,Chandauli,Chakiya,Chakiya,25.04166667,83.22166667,Chakia,"Dug Well",W14833,2013,4.78,4.57,3.13,5.81
UP,Chandauli,Chandauli,Chandauli,25.16666667,83.195,Baburi,"Dug Well",W14834,2013,NA,5.34,3.37,NA
UP,Chandauli,Chandauli,Chandauli,25.26388889,83.25444444,Chandauli,"Dug Well",W14835,2013,'0.2,1.31,1.16,3.43
UP,Chandauli,Dhanapur,Dhanapur,25.45333333,83.34166667,Dhanpur,"Dug Well",W14836,2013,2.31,2.56,1.36,3.76
UP,Chandauli,Sakaldiha,Sakaldiha,25.33833333,83.25666667,Sakaldiha,"Dug Well",W15601,2013,3.12,3.39,1.3,5.45
UP,Chandauli,Barhani,Barhani,25.37,83.37666667,Kamalpur,"Dug Well",W14831,2013,7.17,5.85,2.05,8.27
UP,Chandauli,Chahniya,Chahniya,25.50833333,83.22083333,"Marufpur xing","Dug Well",W15598,2013,NA,12.91,11.87,15.83
UP,Chandauli,Naugarh,Naugarh,24.82833333,83.22833333,Naugarh,"Dug Well",W15599,2013,5.31,8.76,2.38,6.94
UP,Chandauli,Niyamatabad,Niyamatabad,25.27666667,83.13,"Mugal sarai","Dug Well",W15600,2013,'0.39,1.13,'0.18,1.85
UP,Chandauli,Naugarh,Naugarh,24.93333333,83.18333333,Chandraprabha,"Dug Well",W14837,2013,NA,NA,7.3,NA
UP,Chandauli,Chahniya,Chahniya,25.42333333,83.21666667,Chahania,"Dug Well",W14832,2012,NA,2.97,3.29,4.49
UP,Chandauli,Chakiya,Chakiya,25.04166667,83.22166667,Chakia,"Dug Well",W14833,2012,NA,3.62,3.18,6.01
UP,Chandauli,Chandauli,Chandauli,25.16666667,83.195,Baburi,"Dug Well",W14834,2012,NA,6.24,4.77,10.66
UP,Chandauli,Chandauli,Chandauli,25.26388889,83.25444444,Chandauli,"Dug Well",W14835,2012,NA,1.67,1.52,3.47
UP,Chandauli,Sakaldiha,Sakaldiha,25.33833333,83.25666667,Sakaldiha,"Dug Well",W15601,2012,NA,2.64,1.82,6.26
UP,Chandauli,Barhani,Barhani,25.37,83.37666667,Kamalpur,"Dug Well",W14831,2012,NA,3.95,3.6,8.77
UP,Chandauli,Chahniya,Chahniya,25.50833333,83.22083333,"Marufpur xing","Dug Well",W15598,2012,NA,12.05,13.23,14.24
UP,Chandauli,Niyamatabad,Niyamatabad,25.27666667,83.13,"Mugal sarai","Dug Well",W15600,2012,NA,'0.58,'0.81,1.42
UP,Chandauli,Dhanapur,Dhanapur,25.45333333,83.34166667,Dhanpur,"Dug Well",W14836,2012,NA,1.73,2.68,4.09
UP,Chandauli,Chahniya,Chahniya,25.42333333,83.21666667,Chahania,"Dug Well",W14832,2011,NA,3.18,2.52,NA
UP,Chandauli,Chakiya,Chakiya,25.04166667,83.22166667,Chakia,"Dug Well",W14833,2011,3.68,4.19,2.73,7.25
UP,Chandauli,Chandauli,Chandauli,25.16666667,83.195,Baburi,"Dug Well",W14834,2011,5.62,6.87,4.83,11.31
UP,Chandauli,Chandauli,Chandauli,25.26388889,83.25444444,Chandauli,"Dug Well",W14835,2011,1.08,1.64,1.22,3.68
UP,Chandauli,Sakaldiha,Sakaldiha,25.33833333,83.25666667,Sakaldiha,"Dug Well",W15601,2011,1.22,3.98,1.6,6.39
UP,Chandauli,Barhani,Barhani,25.37,83.37666667,Kamalpur,"Dug Well",W14831,2011,4.67,4.59,2.25,8.59
UP,Chandauli,Chahniya,Chahniya,25.50833333,83.22083333,"Marufpur xing","Dug Well",W15598,2011,13.98,13.83,11.83,17.63
UP,Chandauli,Naugarh,Naugarh,24.82833333,83.22833333,Naugarh,"Dug Well",W15599,2011,3.76,NA,NA,NA
UP,Chandauli,Niyamatabad,Niyamatabad,25.27666667,83.13,"Mugal sarai","Dug Well",W15600,2011,1.83,1.84,'0.76,2.25
UP,Chandauli,Dhanapur,Dhanapur,25.45333333,83.34166667,Dhanpur,"Dug Well",W14836,2011,2.46,2.31,1.55,4.2
UP,Chandauli,Chahniya,Chahniya,25.42333333,83.21666667,Chahania,"Dug Well",W14832,2010,4.69,4.97,3.87,6.28
UP,Chandauli,Chakiya,Chakiya,25.04166667,83.22166667,Chakia,"Dug Well",W14833,2010,4.4,5.75,3.11,8.33
UP,Chandauli,Chandauli,Chandauli,25.16666667,83.195,Baburi,"Dug Well",W14834,2010,5.99,10.15,NA,11.62
UP,Chandauli,Chandauli,Chandauli,25.26388889,83.25444444,Chandauli,"Dug Well",W14835,2010,'0.64,1.64,1.29,2.63
UP,Chandauli,Dhanapur,Dhanapur,25.45333333,83.34166667,Dhanpur,"Dug Well",W14836,2010,2.66,2.42,2.51,4.64
UP,Chandauli,Sakaldiha,Sakaldiha,25.33833333,83.25666667,Sakaldiha,"Dug Well",W15601,2010,2.55,3.96,2.5,8.03
UP,Chandauli,Barhani,Barhani,25.37,83.37666667,Kamalpur,"Dug Well",W14831,2010,5.6,6.21,3.18,9.35
UP,Chandauli,Chahniya,Chahniya,25.50833333,83.22083333,"Marufpur xing","Dug Well",W15598,2010,14.48,15.43,14.33,NA
UP,Chandauli,Naugarh,Naugarh,24.82833333,83.22833333,Naugarh,"Dug Well",W15599,2010,NA,10.58,NA,NA
UP,Chandauli,Niyamatabad,Niyamatabad,25.27666667,83.13,"Mugal sarai","Dug Well",W15600,2010,'0.78,1.73,'0.31,3.55
UP,Chandauli,Naugarh,Naugarh,24.93333333,83.18333333,Chandraprabha,"Dug Well",W14837,2010,NA,13.6,NA,NA
UP,Chandauli,Chahniya,Chahniya,25.42333333,83.21666667,Chahania,"Dug Well",W14832,2009,5.16,4.44,4.32,4.97
UP,Chandauli,Chakiya,Chakiya,25.04166667,83.22166667,Chakia,"Dug Well",W14833,2009,5.73,4.39,4.33,7.56
UP,Chandauli,Chandauli,Chandauli,25.16666667,83.195,Baburi,"Dug Well",W14834,2009,10.81,3.47,7.02,NA
UP,Chandauli,Chandauli,Chandauli,25.26388889,83.25444444,Chandauli,"Dug Well",W14835,2009,'0.09,1.47,'0.35,3.12
UP,Chandauli,Dhanapur,Dhanapur,25.45333333,83.34166667,Dhanpur,"Dug Well",W14836,2009,2.81,NA,2.27,4.07
UP,Chandauli,Naugarh,Naugarh,24.93333333,83.18333333,Chandraprabha,"Dug Well",W14837,2009,2.1,NA,6.9,NA
UP,Chandauli,Sakaldiha,Sakaldiha,25.33833333,83.25666667,Sakaldiha,"Dug Well",W15601,2009,3,3.84,1.9,5.52
UP,Chandauli,Barhani,Barhani,25.37,83.37666667,Kamalpur,"Dug Well",W14831,2009,5.95,4.42,5.15,8.02
