STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
UP,Lalitpur,Talbehat,Talbehat,25.04777778,78.45277778,Talbhet-III,"Dug Well",W32922,2018,NA,7.98,1.83,NA
UP,Lalitpur,Mahrauni,Mahrauni,24.56666667,78.71666667,"Mahroni 1","Dug Well",W28994,2018,NA,NA,9.07,NA
UP,Lalitpur,Talbehat,Talbehat,25.03333333,78.43166667,Talbhet-New,"Dug Well",W29121,2018,NA,2.45,2.36,NA
UP,Lalitpur,Birdha,Birdha,24.54194444,78.47777778,"Birdha Pz-GWD","Tube Well",W32911,2018,NA,18.21,NA,NA
UP,Lalitpur,MAHRAUNI,Mahrauni,24.57388889,78.62083333,Silawan,"Dug Well",W33226,2018,NA,9.47,6.29,NA
UP,Lalitpur,Birdha,Birdha,24.58666667,78.56388889,Khitwans,"Dug Well",W15132,2018,NA,NA,5.03,NA
UP,Lalitpur,Birdha,Birdha,24.36666667,78.4,"Amjhara ghati","Dug Well",W15129,2018,1.45,1.44,NA,NA
UP,Lalitpur,Talbehat,Talbehat,25.07083333,78.56416667,"Hisar kalan","Dug Well",W15137,2018,NA,5.3,6.52,NA
UP,Lalitpur,Jakhaura,Jakhaura,24.865,78.48,Bansi,"Dug Well",W15133,2018,NA,3.71,2.66,NA
UP,Lalitpur,Jakhaura,Jakhaura,24.67916667,78.40833333,Lalitpur,"Dug Well",W15830,2018,NA,1.04,1.39,NA
UP,Lalitpur,Bar,Bar,24.85833333,78.58333333,Bar,"Dug Well",W22909,2018,NA,8.14,4.09,NA
UP,Lalitpur,Birdha,Birdha,24.475,78.525,Betna,"Dug Well",W22910,2018,NA,10.11,3.97,NA
UP,Lalitpur,Birdha,Birdha,24.54333333,78.32166667,Jakhlaun,"Dug Well",W15131,2018,NA,3.22,3.28,NA
UP,Lalitpur,Mandawara,Mandawara,24.37,78.60666667,Digwar,"Dug Well",W15136,2018,NA,7.94,6.13,NA
UP,Lalitpur,Mahrauni,Mahrauni,24.40833333,78.76666667,Saidpur,"Dug Well",W22913,2018,NA,8.27,5.89,NA
UP,Lalitpur,Jakhaura,Jakhaura,24.89833333,78.34611111,Jakhaura1,"Dug Well",W29081,2018,NA,2.92,2.61,NA
UP,Lalitpur,Mahrauni,Mahrauni,24.40833333,78.76666667,Saidpur,"Dug Well",W22913,2017,3.81,6.33,8.12,NA
UP,Lalitpur,Mahrauni,Mahrauni,24.56666667,78.71666667,"Mahroni 1","Dug Well",W28994,2017,10.75,11.75,NA,NA
