STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
GJ,Bharuch,"Bharuch Ina",Hansot,21.45,72.8,Ilav,"Dug Well",W07793,2018,4.37,4.65,NA,NA
GJ,Bharuch,Bharuch,Bharuch,21.70833333,73,"Bharuch Ii","Tube Well",W27316,2018,NA,NA,5.04,NA
GJ,Bharuch,Andada,Valia,21.63333333,73.29583333,Modoliya,"Dug Well",W08352,2018,3.48,6.48,NA,NA
GJ,Bharuch,"Bharuch Ina",Hansot,21.52083333,72.82083333,Raymal,"Dug Well",W08367,2018,2.45,1.25,NA,NA
GJ,Bharuch,"Anklesvar Ina",Anklesvar,21.61666667,72.92361111,Sajod,"Dug Well",W08361,2018,2.09,2.2,NA,NA
GJ,Bharuch,"Anklesvar Ina",Anklesvar,21.675,72.975,"Juna borbhata","Dug Well",W07788,2018,5.1,7.3,NA,NA
GJ,Bharuch,"Anklesvar Ina",Anklesvar,21.5375,72.975,Panoli,"Dug Well",W08360,2018,5.11,'0.55,NA,NA
GJ,Bharuch,"Anklesvar Ina",Anklesvar,21.55555556,72.8875,Motwan,"Dug Well",W08358,2018,1.07,1.4,NA,NA
GJ,Bharuch,Bharuch,Bharuch,21.7,73.00416667,Kaprali,"Dug Well",W08362,2018,4.09,9.05,NA,NA
GJ,Bharuch,Bharuch,Bharuch,21.70777778,72.83055556,Navetha,"Dug Well",W08366,2018,'0.2,6.7,NA,NA
GJ,Bharuch,Bharuch,Bharuch,21.70833333,73,"Bharuch I","Tube Well",W07789,2018,2.9,5.7,NA,NA
GJ,Bharuch,Palej,Vagra,21.7625,72.63888889,Kadodara,"Tube Well",W08375,2018,7.29,7.1,NA,NA
GJ,Bharuch,Palej,Vagra,21.79166667,72.66805556,Nirnavi,"Dug Well",W08377,2018,'0.2,4.8,NA,NA
GJ,Bharuch,Anklesvar,Amod,21.91666667,72.79166667,"Roja tankaria","Dug Well",W08357,2018,6.77,6.75,NA,NA
GJ,Bharuch,Andada,Valia,21.58055556,73.06805556,Kondh,"Dug Well",W08351,2018,1.1,4.7,NA,NA
GJ,Bharuch,"Bharuch Ina",Hansot,21.58333333,72.80833333,Hansot,"Tube Well",W07792,2018,1.68,4.6,NA,NA
GJ,Bharuch,"Bharuch Ina",Hansot,21.59166667,72.825,Utraj,"Dug Well",W08368,2018,3.32,3.1,NA,NA
GJ,Bharuch,Palej,Vagra,21.725,72.75,Bhensli,"Dug Well",W07801,2018,'0.49,2.25,NA,NA
GJ,Bharuch,Jambusar,Jambusar,22.15833333,72.75833333,Sarod,"Dug Well",W08371,2018,7.29,8.05,NA,NA
GJ,Bharuch,Jambusar,Jambusar,21.99166667,72.675,Tankari,"Dug Well",W08372,2018,3.66,3.5,NA,NA
GJ,Bharuch,Jambusar,Jambusar,22.18472222,72.59722222,Kavi-1,"Dug Well",W08370,2018,1.25,4.6,NA,NA
GJ,Bharuch,Jambusar,Jambusar,22.19361111,72.63944444,Kavi-2,"Dug Well",W20348,2018,6.05,6.2,NA,NA
