STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.39583333,73.94083333,Ramsara-1,"Dug Well",W18241,2018,12.81,14.12,NA,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.875,74.46666667,Bhagatpura-Pz,"Tube Well",W30035,2018,NA,13.07,12.81,NA
RJ,Hanumangarh,Suratgarh,Hanumangarh,29.28333333,74.17083333,Sardarpura,"Dug Well",W18226,2018,5.9,6.67,NA,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.7,74.4875,Salewali,"Dug Well",W18243,2018,9.99,9.67,NA,NA
RJ,Hanumangarh,Bhadra,Bhadra,29.1,75.03333333,Munsari,"Dug Well",W18229,2018,NA,14.86,14.26,NA
RJ,Hanumangarh,Bhadra,Bhadra,29.18333333,75.325,"Chhani Bari","Dug Well",W18228,2018,NA,13.78,13.35,NA
RJ,Hanumangarh,Nohar,Nohar,29.23333333,74.75,Bhukarka,"Dug Well",W18245,2018,NA,22.28,15.45,NA
RJ,Hanumangarh,Nohar,Nohar,29.25,74.83333333,Ramsara-2,"Dug Well",W18254,2018,NA,18.28,18.2,NA
RJ,Hanumangarh,Nohar,Nohar,29.25277778,74.41388889,Rawatsar,"Dug Well",W18255,2018,NA,1.92,'0.46,NA
RJ,Hanumangarh,Nohar,Nohar,29.28055556,74.76666667,Nohar1,"Dug Well",W18251,2018,NA,16.3,14.69,NA
RJ,Hanumangarh,Nohar,Nohar,29.18333333,74.34166667,Dhanasar,"Dug Well",W18248,2018,NA,9.29,8.89,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.75833333,74.26666667,Dholipal,"Dug Well",W18233,2018,NA,21.62,21.93,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.4125,74.2,Panditawali,"Dug Well",W18239,2018,NA,8.84,9.12,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.68333333,74.1,"Pale Wali Dhani","Tube Well",W22232,2018,NA,25.1,24.6,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.68333333,74.1625,Pakkasarna,"Dug Well",W18238,2018,NA,27.17,27.12,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.5625,73.97083333,Lakhasar-1,"Dug Well",W18235,2018,NA,20.19,20,NA
RJ,Hanumangarh,Suratgarh,Hanumangarh,29.46666667,73.93333333,Suratgarh,"Tube Well",W18227,2018,NA,8.47,7.97,NA
RJ,Hanumangarh,Nohar,Nohar,29.075,74.3,Biramsar,"Dug Well",W18247,2018,NA,25.7,24.8,NA
RJ,Hanumangarh,Nohar,Nohar,29.21666667,74.53333333,Gandehali,"Dug Well",W18249,2018,NA,3.17,3.3,NA
RJ,Hanumangarh,Sangaria,Hanumangarh,29.8375,74.40972222,Bolanwali,"Dug Well",W14060,2018,NA,15.21,14.97,NA
RJ,Hanumangarh,Sadulshahar,Hanumangarh,29.84583333,74.24166667,Kheruwala,"Dug Well",W14039,2018,NA,22.06,21.81,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.35888889,74.59861111,Chistian-1,"Tube Well",W18231,2018,NA,31.5,31.8,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.37916667,74.27083333,Chohlinyawali,"Dug Well",W18232,2018,NA,1.77,1.65,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.61666667,74.28333333,"Hanumangarh Rau","Tube Well",W20622,2018,NA,22.1,22.53,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.625,74.31666667,Satipura,"Dug Well",W18244,2018,NA,25.2,26.29,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.85,74.45,Ratanpura,"Dug Well",W18242,2018,NA,11.49,'0.65,NA
RJ,Hanumangarh,Rawatsar,Nohar,28.86666667,74.27777778,Bisrasar,"Dug Well",W14057,2018,NA,45.15,44.35,NA
RJ,Hanumangarh,Bhadra,Bhadra,28.97083333,75.03333333,Malsisar,"Dug Well",W14055,2018,NA,13.08,13.47,NA
RJ,Hanumangarh,Rawatsar,Nohar,28.90833333,74.13333333,Dudhal,"Dug Well",W14058,2018,NA,48.05,48.52,NA
RJ,Hanumangarh,Nohar,Nohar,28.91666667,74.2,Pallu,"Dug Well",W18252,2018,NA,43.11,43.29,NA
RJ,Hanumangarh,Rawatsar,Nohar,28.975,74.29166667,Lakheran,"Dug Well",W14059,2018,NA,37.17,36.73,NA
RJ,Hanumangarh,Bhadra,Bhadra,29.01388889,75.09722222,Dungrana,"Dug Well",W14054,2018,NA,12.16,11.54,NA
RJ,Hanumangarh,Nohar,Nohar,29.03333333,74.28333333,Purabsar,"Dug Well",W18253,2018,NA,33.51,30.92,NA
RJ,Hanumangarh,Nohar,Nohar,29.03333333,74.73333333,Lakhasar-2,"Dug Well",W14056,2018,NA,15.93,15.03,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.56111111,74.33333333,Kohla,"Dug Well",W18234,2018,NA,20.85,20.57,NA
RJ,Hanumangarh,RAWATSAR,Nohar,29.255,74.40972222,"Rawatsar Deep","Tube Well",W33335,2018,NA,8,7.07,NA
RJ,Hanumangarh,RAWATSAR,Nohar,29.255,74.40972222,"Rawatsar Shallow","Tube Well",W33336,2018,NA,6.69,6.87,NA
RJ,Hanumangarh,PILIBANGA,Hanumangarh,29.4175,73.90416667,Rampura,"Bore Well",W33338,2018,NA,9.56,10.45,NA
RJ,Hanumangarh,HANUMANGARH,Hanumangarh,29.63333333,74.06,Goluwala,"Tube Well",W33340,2018,NA,27.99,26,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.625,74.50833333,Chandurwala,"Dug Well",W18230,2018,NA,4.08,NA,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.4125,74.2,Paditawali,"Tube Well",W29965,2018,NA,9.79,NA,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.475,74.12694444,Kalibanga-Pz,"Tube Well",W29976,2018,NA,21.61,25.71,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.69722222,74.29444444,"Chak Sampatnagar2","Tube Well",W30003,2018,NA,22.49,22.4,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.63333333,74.06,Goluwala,"Dug Well",W20227,2018,25.95,25.19,NA,NA
RJ,Hanumangarh,Rawatsar,Nohar,28.86666667,74.27777778,Bisrasar,"Dug Well",W14057,2017,44.08,44.18,44.26,44.25
RJ,Hanumangarh,HANUMANGARH,Hanumangarh,29.63333333,74.06,Goluwala,"Tube Well",W33340,2017,NA,NA,27.96,NA
RJ,Hanumangarh,Suratgarh,Hanumangarh,29.28333333,74.17083333,Sardarpura,"Dug Well",W18226,2017,5.23,NA,5.51,NA
RJ,Hanumangarh,Nohar,Nohar,29.075,74.3,Biramsar,"Dug Well",W18247,2017,24.27,NA,24.81,NA
RJ,Hanumangarh,Bhadra,Bhadra,28.97083333,75.03333333,Malsisar,"Dug Well",W14055,2017,12.5,12.45,12.79,12.5
RJ,Hanumangarh,Rawatsar,Nohar,28.90833333,74.13333333,Dudhal,"Dug Well",W14058,2017,47.82,48.72,48.13,48.83
RJ,Hanumangarh,Nohar,Nohar,28.91666667,74.2,Pallu,"Dug Well",W18252,2017,42.42,42.27,42.76,43.4
RJ,Hanumangarh,Rawatsar,Nohar,28.975,74.29166667,Lakheran,"Dug Well",W14059,2017,36.7,36.97,36.86,37.4
RJ,Hanumangarh,Bhadra,Bhadra,29.01388889,75.09722222,Dungrana,"Dug Well",W14054,2017,11.92,12.56,11.93,13.1
RJ,Hanumangarh,Nohar,Nohar,29.03333333,74.28333333,Purabsar,"Dug Well",W18253,2017,29.8,31.84,32.86,32.4
RJ,Hanumangarh,Nohar,Nohar,29.03333333,74.73333333,Lakhasar-2,"Dug Well",W14056,2017,15.55,15.5,15.66,16.9
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.56111111,74.33333333,Kohla,"Dug Well",W18234,2017,20.02,19.63,20.19,20.15
RJ,Hanumangarh,Bhadra,Bhadra,29.1,75.03333333,Munsari,"Dug Well",W18229,2017,14.06,13.6,14.26,14.58
RJ,Hanumangarh,Bhadra,Bhadra,29.18333333,75.325,"Chhani Bari","Dug Well",W18228,2017,11.37,12.3,11.74,12.55
RJ,Hanumangarh,Nohar,Nohar,29.23333333,74.75,Bhukarka,"Dug Well",W18245,2017,21.2,20.88,21.04,21
RJ,Hanumangarh,Nohar,Nohar,29.25,74.83333333,Ramsara-2,"Dug Well",W18254,2017,17.42,17.3,16.63,17.4
RJ,Hanumangarh,Nohar,Nohar,29.18333333,74.34166667,Dhanasar,"Dug Well",W18248,2017,8.58,8.2,9.27,5.2
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.75833333,74.26666667,Dholipal,"Dug Well",W18233,2017,22.03,21.13,21.5,21.93
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.39583333,73.94083333,Ramsara-1,"Dug Well",W18241,2017,13.46,11,13.68,11.25
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.4125,74.2,Panditawali,"Dug Well",W18239,2017,8.5,8.29,8.65,8.26
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.63333333,74.06,Goluwala,"Dug Well",W20227,2017,25.01,23.9,25.18,24.3
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.68333333,74.1625,Pakkasarna,"Dug Well",W18238,2017,26.26,26.79,27.14,27.64
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.5625,73.97083333,Lakhasar-1,"Dug Well",W18235,2017,20.15,20,19.98,20.05
RJ,Hanumangarh,Suratgarh,Hanumangarh,29.46666667,73.93333333,Suratgarh,"Tube Well",W18227,2017,7.59,7.2,7.61,7.5
RJ,Hanumangarh,Nohar,Nohar,29.21666667,74.53333333,Gandehali,"Dug Well",W18249,2017,2.93,5.1,3.12,5.27
RJ,Hanumangarh,Sangaria,Hanumangarh,29.8375,74.40972222,Bolanwali,"Dug Well",W14060,2017,15.07,15.2,15.08,15.6
RJ,Hanumangarh,Sadulshahar,Hanumangarh,29.84583333,74.24166667,Kheruwala,"Dug Well",W14039,2017,13.96,22.63,21.81,22.33
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.7,74.4875,Salewali,"Dug Well",W18243,2017,2.92,18.9,9.31,19
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.35888889,74.59861111,Chistian-1,"Tube Well",W18231,2017,31.7,30.1,31.22,30.4
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.37916667,74.27083333,Chohlinyawali,"Dug Well",W18232,2017,1.43,6.63,1.78,6.7
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.61666667,74.28333333,"Hanumangarh Rau","Tube Well",W20622,2017,21.55,20.9,21.69,21.2
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.625,74.31666667,Satipura,"Dug Well",W18244,2017,25.4,23.6,25.13,24.4
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.85,74.45,Ratanpura,"Dug Well",W18242,2017,6.09,11.65,11.33,12.05
RJ,Hanumangarh,Nohar,Nohar,29.25277778,74.41388889,Rawatsar,"Dug Well",W18255,2017,NA,'0.57,1.9,1.9
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.68333333,74.1,"Pale Wali Dhani","Tube Well",W22232,2017,NA,25.95,24.4,24.25
RJ,Hanumangarh,RAWATSAR,Nohar,29.255,74.40972222,"Rawatsar Deep","Tube Well",W33335,2017,6.73,6.57,7.83,6.7
RJ,Hanumangarh,RAWATSAR,Nohar,29.255,74.40972222,"Rawatsar Shallow","Tube Well",W33336,2017,6.5,6.55,6.68,6.55
RJ,Hanumangarh,PILIBANGA,Hanumangarh,29.4175,73.90416667,Rampura,"Bore Well",W33338,2017,9.44,7.05,9.45,9.25
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.625,74.50833333,Chandurwala,"Dug Well",W18230,2017,NA,4.17,NA,4.45
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.875,74.46666667,Bhagatpura-Pz,"Tube Well",W30035,2017,12.87,NA,12.9,12.93
RJ,Hanumangarh,Dabwali,Hanumangarh,29.83333333,74.51666667,Lohgarh,"Dug Well",W16660,2017,NA,5.18,NA,NA
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.4125,74.2,Paditawali,"Tube Well",W29965,2017,9.34,9.85,9.73,8.6
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.69722222,74.29444444,"Chak Sampatnagar2","Tube Well",W30003,2017,26.23,21.88,22.5,22.15
RJ,Hanumangarh,Hanumangarh,Hanumangarh,29.475,74.12694444,Kalibanga-Pz,"Tube Well",W29976,2017,NA,NA,21.46,NA
RJ,Hanumangarh,Nohar,Nohar,29.28055556,74.76666667,Nohar1,"Dug Well",W18251,2017,14.81,14.54,14.91,NA
