STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
BR,"Kaimur (bhabua)",Adhaura,Adahaura,24.68277778,83.61777778,Adhaura,"Dug Well",W12493,2018,4.45,NA,NA,7
BR,"Kaimur (bhabua)",Bhagwanpur,Bhagwanpur,24.97638889,83.62777778,"Tori f.ck.post","Dug Well",W12794,2018,7.28,7.77,NA,NA
BR,"Kaimur (bhabua)",Adhaura,Adahaura,24.81666667,83.575,Bhabhua,"Dug Well",W12566,2018,12.3,12.3,NA,NA
BR,"Kaimur (bhabua)",Chainpur,Chainpur,25.04305556,83.5,Chainpur,"Dug Well",W12638,2018,9.7,9.7,NA,NA
BR,"Kaimur (bhabua)",Chand,Chand,25.1125,83.4,"Chand in p.s.","Dug Well",W12639,2018,3.95,2.45,NA,NA
BR,"Kaimur (bhabua)",Ramgarh,Ramgarh,25.27,83.57722222,Bevnaliya,"Dug Well",W29211,2018,5.5,6.54,NA,NA
BR,"Kaimur (bhabua)",Durgawati,Durgawati,25.24194444,83.44111111,Karmanasa,"Dug Well",W12795,2018,8.4,7.29,NA,NA
BR,"Kaimur (bhabua)",Mohania,Mohania,25.17138889,83.61972222,Mohania-1,"Dug Well",W12797,2018,5.2,7.64,NA,NA
BR,"Kaimur (bhabua)",Durgawati,Ramgarh,25.29305556,83.53611111,Nuawan,"Dug Well",W12796,2018,7.84,8.12,NA,NA
BR,"Kaimur (bhabua)",Ramgarh,Ramgarh,25.28472222,83.69027778,Bandipur,"Dug Well",W12528,2018,NA,4.38,NA,NA
BR,"Kaimur (bhabua)",Bhagwanpur,Bhagwanpur,24.98027778,83.5675,Saraiya,"Dug Well",W29100,2018,7.3,12.49,NA,NA
BR,"Kaimur (bhabua)",Kudra,Karghar,25.06666667,83.79166667,"Jahanabad (kudra)","Dug Well",W12701,2018,6.17,9.19,NA,NA
BR,"Kaimur (bhabua)",Ramgarh,Ramgarh,25.28472222,83.69027778,Bandipur,"Dug Well",W12528,2017,4.23,NA,5.23,4.45
BR,"Kaimur (bhabua)",Kudra,Karghar,25.06666667,83.79166667,"Jahanabad (kudra)","Dug Well",W12701,2017,6.5,NA,8.08,10.35
