STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
RJ,Chittaurgarh,Bhopalsagar,Kapasan,24.875,74.26666667,Mungana,"Dug Well",W18144,2018,10.42,NA,NA,16.72
RJ,Chittaurgarh,CHITTAURGARH,Chittaurgarh,24.85,74.58888889,Bojunda,"Tube Well",W33230,2018,NA,16.05,16.66,NA
RJ,Chittaurgarh,Bhadesar,Bhadesar,24.68333333,74.35,Napania,"Dug Well",W18139,2018,NA,6.4,18.6,NA
RJ,Chittaurgarh,Bhadesar,Bhadesar,24.72666667,74.45,Bansen,"Dug Well",W18138,2018,NA,4.45,24.85,NA
RJ,Chittaurgarh,Bhinsrorgarh,Bhainsrorgarh,24.93333333,75.59166667,Rawatbhata,"Dug Well",W18141,2018,NA,'0.26,'0.85,NA
RJ,Chittaurgarh,Kapasan,Kapasan,24.86111111,74.30833333,Kapasan1,"Dug Well",W18153,2018,NA,3.27,4.55,NA
RJ,Chittaurgarh,Kapasan,Kapasan,24.93333333,74.45555556,Singhpur,"Dug Well",W18154,2018,NA,5.79,11.3,NA
RJ,Chittaurgarh,Chittaurgarh,Chittaurgarh,24.90555556,74.64444444,Manpura2,"Dug Well",W18145,2018,NA,1.8,5.37,NA
RJ,Chittaurgarh,Chittaurgarh,Chittaurgarh,24.94166667,74.51944444,Purohitokasavat,"Dug Well",W20210,2018,NA,21.04,25.43,NA
RJ,Chittaurgarh,Begun,Begun,25.07777778,75.16666667,Menal,"Dug Well",W18136,2018,NA,1.67,1.35,NA
RJ,Chittaurgarh,Begun,Begun,25.10833333,74.83333333,Dugar,"Bore Well",W18134,2018,NA,1.06,3.85,NA
RJ,Chittaurgarh,Begun,Begun,25.13638889,74.8875,Parsoli,"Dug Well",W18137,2018,NA,'0.1,7.2,NA
RJ,Chittaurgarh,Gangrar,Gangrar,25.03611111,74.49166667,Kharkhanda,"Dug Well",W18152,2018,NA,10.74,14.74,NA
RJ,Chittaurgarh,Gangrar,Gangrar,25.05,74.63333333,Gangrar1,"Dug Well",W18151,2018,NA,9.95,11.65,NA
RJ,Chittaurgarh,Rashmi,Rashmi,25.06666667,74.3625,Rashmi1,"Dug Well",W18159,2018,NA,3.7,6.95,NA
RJ,Chittaurgarh,Bhopalsagar,Kapasan,24.73333333,74.26666667,Akola,"Dug Well",W18142,2018,NA,3.05,NA,NA
RJ,Chittaurgarh,Chittaurgarh,Chittaurgarh,24.95,74.7,Nagari1,"Dug Well",W18146,2018,NA,2.35,NA,NA
RJ,Chittaurgarh,Dhariawad,"Bari Sadri",24.25138889,74.41666667,Arampura,"Dug Well",W14538,2018,NA,2.01,1.3,NA
RJ,Chittaurgarh,Begun,Begun,25.13638889,74.8875,Parsoli,"Dug Well",W18137,2017,NA,5.15,3.66,12.47
RJ,Chittaurgarh,CHITTAURGARH,Chittaurgarh,24.85,74.58888889,Bojunda,"Tube Well",W33230,2017,9.5,11.55,12.43,17.07
RJ,Chittaurgarh,Kapasan,Kapasan,24.93333333,74.45555556,Singhpur,"Dug Well",W18154,2017,5.3,14.8,5.33,NA
RJ,Chittaurgarh,Bhopalsagar,Kapasan,24.73333333,74.26666667,Akola,"Dug Well",W18142,2017,2.9,6,2.93,7.54
RJ,Chittaurgarh,Chittaurgarh,Chittaurgarh,24.95,74.7,Nagari1,"Dug Well",W18146,2017,1.55,10.45,1.49,13.25
RJ,Chittaurgarh,Bhopalsagar,Kapasan,24.875,74.26666667,Mungana,"Dug Well",W18144,2017,9.32,6.72,NA,NA
RJ,Chittaurgarh,Dhariawad,"Bari Sadri",24.25138889,74.41666667,Arampura,"Dug Well",W14538,2017,'0.2,'0.69,'0.5,4.2
RJ,Chittaurgarh,Bhadesar,Bhadesar,24.68333333,74.35,Napania,"Dug Well",W18139,2017,5.17,9.3,5.22,18.36
RJ,Chittaurgarh,Bhinsrorgarh,Bhainsrorgarh,24.93333333,75.59166667,Rawatbhata,"Dug Well",W18141,2017,1.65,'0.15,'0.33,'0.7
RJ,Chittaurgarh,Kapasan,Kapasan,24.86111111,74.30833333,Kapasan1,"Dug Well",W18153,2017,2.51,2.75,2.55,4.6
RJ,Chittaurgarh,Chittaurgarh,Chittaurgarh,24.90555556,74.64444444,Manpura2,"Dug Well",W18145,2017,1.57,11.27,6.67,8.87
RJ,Chittaurgarh,Chittaurgarh,Chittaurgarh,24.94166667,74.51944444,Purohitokasavat,"Dug Well",W20210,2017,13.38,25.58,20.88,25.88
RJ,Chittaurgarh,Begun,Begun,25.07777778,75.16666667,Menal,"Dug Well",W18136,2017,1.35,4.95,1.05,1.5
RJ,Chittaurgarh,Begun,Begun,25.10833333,74.83333333,Dugar,"Bore Well",W18134,2017,'0.85,2.4,'0.66,2.17
RJ,Chittaurgarh,Gangrar,Gangrar,25.03611111,74.49166667,Kharkhanda,"Dug Well",W18152,2017,9.19,10.44,9.27,18.34
RJ,Chittaurgarh,Gangrar,Gangrar,25.05,74.63333333,Gangrar1,"Dug Well",W18151,2017,3,1.85,10.95,7.1
RJ,Chittaurgarh,Rashmi,Rashmi,25.06666667,74.3625,Rashmi1,"Dug Well",W18159,2017,4.15,5.05,4.07,7.92
RJ,Chittaurgarh,Bhadesar,Bhadesar,24.72666667,74.45,Bansen,"Dug Well",W18138,2017,3.3,9.05,5.27,NA
RJ,Chittaurgarh,Dhariawad,"Bari Sadri",24.25138889,74.41666667,Arampura,"Dug Well",W14538,2016,1.76,NA,'0.72,5.05
RJ,Chittaurgarh,CHITTAURGARH,Chittaurgarh,24.85,74.58888889,Bojunda,"Tube Well",W33230,2016,29.68,NA,27.71,NA
RJ,Chittaurgarh,Begun,Begun,25.07777778,75.16666667,Menal,"Dug Well",W18136,2016,6.26,NA,3.65,4.38
RJ,Chittaurgarh,Begun,Begun,25.13638889,74.8875,Parsoli,"Dug Well",W18137,2016,NA,NA,4.65,NA
RJ,Chittaurgarh,Bhadesar,Bhadesar,24.72666667,74.45,Bansen,"Dug Well",W18138,2016,7.57,NA,9.9,14.55
RJ,Chittaurgarh,Bhadesar,Bhadesar,24.68333333,74.35,Napania,"Dug Well",W18139,2016,12.45,NA,9.59,12.55
RJ,Chittaurgarh,Bhinsrorgarh,Bhainsrorgarh,24.93333333,75.59166667,Rawatbhata,"Dug Well",W18141,2016,'0.25,NA,'0.25,'0.35
