STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
KA,"Dakshina Kannada",Beltangadi,Beltangadi,12.95111111,75.37944444,"Dharmasthala A","Dug Well",W24285,2018,NA,3.7,3.2,NA
KA,"Dakshina Kannada",Puttur,Beltangadi,12.95166667,75.26222222,Gerukatte,"Dug Well",W24286,2018,NA,7.3,6.82,NA
KA,"Dakshina Kannada",Beltangadi,Beltangadi,13.03055556,75.38027778,Nidigal,"Dug Well",W24326,2018,NA,4.7,4.5,NA
KA,"Dakshina Kannada",Bantval,Bantval,12.78583333,75.15361111,Kabaka,"Dug Well",W24213,2018,2.75,7.1,NA,NA
KA,"Dakshina Kannada",Bantval,Bantval,12.85583333,75.02027778,Subashnagar,"Dug Well",W24237,2018,1.16,5.4,NA,NA
KA,"Dakshina Kannada",Bantval,Bantval,12.85805556,75.05666667,Bollangadi,"Dug Well",W24238,2018,2.35,4.6,NA,NA
KA,"Dakshina Kannada",Mangalore,Mangalore,12.81805556,74.83944444,"Ullal Beach","Dug Well",W24221,2018,3.12,3.5,NA,NA
KA,"Dakshina Kannada",Mangalore,Mangalore,12.85083333,74.84944444,"Mangalore Jappu","Dug Well",W24235,2018,5.93,8.05,NA,NA
KA,"Dakshina Kannada",Mangalore,Mangalore,12.86138889,74.84722222,"Mangalore Attawara","Dug Well",W24243,2018,3.7,6.12,NA,NA
KA,"Dakshina Kannada",Mangalore,Mangalore,12.86138889,74.84722222,"Mangalore Lalbhag","Dug Well",W24244,2018,6.74,3.64,NA,NA
KA,"Dakshina Kannada",Mangalore,Mangalore,12.86305556,74.83222222,"Mangalore Bandaru","Dug Well",W24246,2018,1.15,1.9,NA,NA
KA,"Dakshina Kannada",Mangalore,Mangalore,12.96805556,74.92777778,"Kinni Kambala","Dug Well",W24297,2018,7.75,11.2,NA,NA
KA,"Dakshina Kannada",Mangalore,Mangalore,12.98138889,74.82444444,Bala,"Dug Well",W24301,2018,7.1,8.97,NA,NA
KA,"Dakshina Kannada",Mangalore,Mangalore,13.00305556,74.9575,Garadi,"Dug Well",W24311,2018,6.32,9.25,NA,NA
KA,"Dakshina Kannada",Mangalore,Mangalore,13.02944444,74.78527778,Mukka,"Dug Well",W24325,2018,2.62,2.75,NA,NA
KA,"Dakshina Kannada",Mangalore,Mangalore,13.05055556,74.82583333,Pakshikere,"Dug Well",W24333,2018,1.76,7.08,NA,NA
