STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
WB,"Dakshin Dinajpur",Bansihari,Bansihari,25.42916667,88.31916667,Joredigi,"Tube Well",W11036,2018,5.75,7.78,NA,NA
WB,"Dakshin Dinajpur",TAPAN,Tapan,25.28,88.66,Madnahar,"Dug Well",W33238,2018,5.22,NA,NA,8.5
WB,"Dakshin Dinajpur",Hilli,Hilli,25.26083333,88.96194444,Hilli,"Dug Well",W11041,2018,1.29,3.04,NA,NA
WB,"Dakshin Dinajpur",Gangarampur,Gangarampur,25.39055556,88.52722222,Nayabazar,"Tube Well",W11040,2018,3.82,9.63,NA,NA
WB,"Dakshin Dinajpur",Kumarganj,Kumarganj,25.41833333,88.77166667,Joydebpur,"Dug Well",W20992,2018,1.35,NA,NA,NA
WB,"Dakshin Dinajpur",Balurghat,Balurghat,25.23305556,88.79277778,Balurghat2,"Tube Well",W29201,2018,NA,NA,NA,10.47
WB,"Dakshin Dinajpur",Hilli,Hilli,25.26,88.88944444,Hilli1,"Tube Well",W29207,2018,NA,NA,NA,7.65
WB,"Dakshin Dinajpur",Bansihari,Bansihari,25.32416667,88.32388889,"Daulatpur -Thakur Para","Dug Well",W29223,2018,NA,NA,NA,3.34
WB,"Dakshin Dinajpur",Tapan,Tapan,25.21694444,88.60138889,"Dakshin Harsura 1","Dug Well",W29183,2018,6.68,4.79,NA,NA
WB,"Dakshin Dinajpur",Tapan,Tapan,25.21861111,88.60277778,"Dakshin Harsura 2","Dug Well",W29185,2018,10.93,16.3,NA,NA
WB,"Dakshin Dinajpur",Tapan,Tapan,25.22055556,88.58472222,Jittirhat,"Dug Well",W29188,2018,2.43,7.83,NA,NA
WB,"Dakshin Dinajpur",Tapan,Tapan,25.22444444,88.66777778,Bharilla,"Dug Well",W29191,2018,1.72,7.9,NA,NA
WB,"Dakshin Dinajpur",Tapan,Tapan,25.2275,88.64333333,"Balapur 1","Dug Well",W29196,2018,'0.6,11.12,NA,NA
WB,"Dakshin Dinajpur",Bansihari,Bansihari,25.31194444,88.31444444,"Kismat Kasba","Dug Well",W29221,2018,1.87,2.03,NA,NA
WB,"Dakshin Dinajpur",Bansihari,Bansihari,25.35944444,88.35694444,"Patharghata -Panjuri Para","Dug Well",W29234,2018,1.63,5.41,NA,NA
WB,"Dakshin Dinajpur",Gangarampur,Gangarampur,25.40888889,88.46777778,Thangapara,"Dug Well",W29245,2018,3.63,4.44,NA,NA
